Departamento,Gasto_Total
 ,1770924354.29
AMAZONAS,766956091.6299999
ANCASH,2938047354.73
APURIMAC,946778138.2700001
AREQUIPA,2411362620.2500005
AYACUCHO,1518747871.3499997
CAJAMARCA,2579457950.02
CUSCO,4346215768.04
HUANCAVELICA,1220399511.0
HUANUCO,1415266999.4599996
ICA,1308089293.1499996
JUNIN,1807621260.2899995
LA LIBERTAD,2563470676.8300004
LAMBAYEQUE,1518074400.21
LIMA,59741028883.99
LORETO,1868462326.5200002
MADRE DE DIOS,311972118.28999996
MOQUEGUA,880166296.08
PASCO,814627803.8899999
PIURA,2452904590.45
PROVINCIA CONSTITUCIONAL DEL CALLAO,3514653847.5600004
PUNO,2209073661.5
SAN MARTIN,1373215691.7099998
TACNA,1051528610.4100002
TUMBES,735913212.1999999
UCAYALI,933522482.9899998
